uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_eur,scholarship_amount_eur,after_scholarship_fee_eur,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified,has_separate_form
RWTH Aachen University,https://www.rwth-aachen.de,Aachen,Germany,50.7780,6.0784,"Templergraben 55, 52062 Aachen",RWTH Excellence Scholarship,https://www.rwth-aachen.de/cms/root/studium/Vor-dem-Studium/Stipendien/~bkms/RWTH-Stipendien/,Masters,Engineering|Computer Science|Natural Sciences,500,9600,0,3.3,2026-02-28,"Transcripts|APS Certificate|IELTS/German B2|SOP|CV|References","scholarships@rwth-aachen.de","",+49 241 80 90000,"1.Apply for Masters at RWTH Aachen|2.Complete online scholarship application|3.Provide APS certificate (HEC attestation for Pakistanis)|4.Upload transcripts + language certificate + SOP|5.Scholarship committee decision by April 2026",true,true
Heidelberg University,https://www.uni-heidelberg.de,Heidelberg,Germany,49.4094,8.6941,"Grabengasse 1, 69117 Heidelberg",Heidelberg Excellence Scholarship,https://www.uni-heidelberg.de/en/study/scholarships,Masters,Natural Sciences|Medicine|Humanities,500,10200,0,3.5,2026-01-15,"Transcripts|APS Certificate|German/English B2+|SOP|Research Proposal|2 References","international@zuv.uni-heidelberg.de","",+49 6221 54 0,"1.Apply for Heidelberg Masters programme|2.Apply for DAAD or university scholarship separately|3.Upload APS certificate + transcripts|4.Provide research proposal and references|5.Interview may be required",true,true
Karlsruhe Institute of Technology,https://www.kit.edu,Karlsruhe,Germany,49.0128,8.4147,"Kaiserstrasse 12, 76131 Karlsruhe",KIT International Scholarship,https://www.intl.kit.edu/188.php,Masters,Engineering|Physics|Computer Science,500,9600,0,3.3,2026-02-15,"Transcripts|APS Certificate|IELTS 6.5+/German B2|SOP|CV","scholarship@kit.edu","",+49 721 608 0,"1.Apply for KIT Masters programme (September intake)|2.Complete KIT scholarship application online|3.Provide APS attestation certificate|4.Upload transcripts + language certificate|5.Decisions by April 2026",true,true
University of Hamburg,https://www.uni-hamburg.de,Hamburg,Germany,53.5679,9.9773,"Mittelweg 177, 20148 Hamburg",Hamburg International Scholarship,https://www.uni-hamburg.de/en/internationales/studieren-im-ausland/stipendien.html,Masters,All Fields,500,9600,0,3.0,2026-07-15,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-hamburg.de","",+49 40 42838 0,"1.Apply for University of Hamburg Masters|2.Apply for DAAD scholarship via online portal|3.Provide APS attestation|4.Upload complete academic documents|5.Rolling scholarship decisions",true,true
University of Stuttgart,https://www.uni-stuttgart.de,Stuttgart,Germany,48.7458,9.1054,"Keplerstrasse 7, 70174 Stuttgart",Stuttgart International Masters Scholarship,https://www.uni-stuttgart.de/en/study/scholarships/,Masters,Engineering|Architecture|Natural Sciences,500,9600,0,3.3,2026-04-15,"Transcripts|APS Certificate|German B2 or English B2|SOP|CV|References","scholarships@uni-stuttgart.de","",+49 711 685 0,"1.Apply for Stuttgart Masters programme|2.Complete scholarship application separately|3.Provide APS certificate|4.Upload transcripts and language proof|5.Decision by June 2026",true,true
Goethe University Frankfurt,https://www.goethe-university-frankfurt.de,Frankfurt,Germany,50.1279,8.6674,"Theodor-W.-Adorno-Platz 1, 60629 Frankfurt","Frankfurt International Masters Award",https://www.uni-frankfurt.de/en/home/,Masters,Economics|Finance|Social Sciences|Law,500,9600,0,3.0,2026-04-30,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-frankfurt.de","",+49 69 798 0,"1.Apply for Goethe University Masters|2.Apply for DAAD or internal scholarship|3.Provide APS attestation and transcripts|4.Submit SOP and CV|5.Decision within 6 weeks",true,true
University of Freiburg,https://www.uni-freiburg.de,Freiburg,Germany,47.9960,7.8494,"Fahnenbergplatz, 79085 Freiburg",Freiburg Masters Excellence Award,https://www.uni-freiburg.de/en/university/international/funding-scholarships,Masters,All Fields,500,9600,0,3.0,2026-05-31,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-freiburg.de","",+49 761 203 0,"1.Apply for Freiburg Masters programme|2.Apply for university scholarship or DAAD|3.Provide APS certificate|4.Upload transcripts and language proof|5.Rolling decisions",true,true
University of Cologne,https://www.uni-koeln.de,Cologne,Germany,50.9283,6.9293,"Albertus-Magnus-Platz, 50923 Cologne",Cologne International Masters Scholarship,https://www.uni-koeln.de/en/international-students/scholarships/,Masters,Business|Social Sciences|Law|Natural Sciences,500,9600,0,3.0,2026-05-15,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV|Reference","international@uni-koeln.de","",+49 221 470 0,"1.Apply for University of Cologne Masters|2.Complete internal scholarship form|3.Provide APS certificate|4.Submit transcripts + language certificate + SOP|5.Decision by July 2026",true,true
University of Mannheim,https://www.uni-mannheim.de,Mannheim,Germany,49.4803,8.4697,"Schloss, 68161 Mannheim",Mannheim Masters Scholarship,https://www.uni-mannheim.de/en/academics/programs/funding-your-studies/,Masters,Business|Economics|Social Sciences,500,10200,0,3.3,2026-03-31,"Transcripts|APS Certificate|GMAT/GRE|TOEFL/IELTS|SOP|2 References","international@uni-mannheim.de","",+49 621 181 0,"1.Apply for Mannheim Masters programme|2.Complete scholarship application on portal|3.Provide APS certificate + GMAT/GRE scores|4.Submit transcripts and SOP|5.Decision by May 2026",true,true
University of Göttingen,https://www.uni-goettingen.de,Göttingen,Germany,51.5338,9.9356,"Wilhelmsplatz 1, 37073 Göttingen",Göttingen International Graduate Award,https://www.uni-goettingen.de/en/scholarships/618285.html,Masters,All Fields,500,9600,0,3.0,2026-06-30,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-goettingen.de","",+49 551 39 0,"1.Apply for Göttingen Masters|2.Apply for DAAD or Göttingen scholarship|3.Provide APS certificate|4.Upload academic documents|5.Rolling scholarship decisions",true,true
