uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,uni_logo,uni_image,founded_year,ranking,student_count,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_aud,scholarship_amount_aud,after_scholarship_fee_aud,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,application_type,button_label,user_note,verified
University of Melbourne,https://www.unimelb.edu.au,Melbourne,Australia,-37.7963,144.9614,"Parkville VIC 3010, Australia",https://upload.wikimedia.org/wikipedia/commons/2/22/The_University_of_Melbourne_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Old_Arts_Building_University_of_Melbourne.jpg/800px-Old_Arts_Building_University_of_Melbourne.jpg,1853,"QS World #13, THE #37",54000,Melbourne Graduate Scholarship,https://scholarships.unimelb.edu.au/awards/melbourne-graduate-scholarship,Masters,All Fields,52000,10000,42000,3.5,2025-10-31,"Transcripts|SOP|CV|IELTS 7.0+","study-overseas@unimelb.edu.au",,+61 3 9035 5511,"1.Apply for eligible graduate coursework degree|2.No separate application required|3.Automatically considered based on academic merit|4.High achievers notified with offer letter|5.Accept offer to secure funding",auto_considered,Apply for Course 🎓,Auto-considered with admission application,true
University of Sydney,https://www.sydney.edu.au,Sydney,Australia,-33.8885,151.1873,"Camperdown NSW 2006, Australia",https://upload.wikimedia.org/wikipedia/en/5/50/University_of_Sydney_Coat_of_Arms.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/University_of_Sydney_Main_Quadrangle.jpg/800px-University_of_Sydney_Main_Quadrangle.jpg,1850,"QS World #18, THE #60",60000,VC International Scholarship,https://www.sydney.edu.au/scholarships/e/vice-chancellor-international-scholarships-scheme.html,Masters,All Fields,50000,20000,30000,3.5,2026-01-15,"Transcripts|Personal Statement|IELTS 7.0+","international.admissions@sydney.edu.au",,+61 2 8627 1444,"1.Apply for CRICOS registered coursework degree|2.Receive unconditional offer|3.No separate form needed|4.Awarded on rolling basis (Values: $5k, $10k, $20k, $40k)|5.Wait for scholarship outcome email",auto_considered,Apply for Course 🎓,Auto-considered - amounts vary up to $40k,true
UNSW Sydney,https://www.unsw.edu.au,Sydney,Australia,-33.9173,151.2313,"Sydney NSW 2052, Australia",https://upload.wikimedia.org/wikipedia/commons/3/3a/University_of_New_South_Wales_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/UNSW_Law_Building.jpg/800px-UNSW_Law_Building.jpg,1949,"QS World #19, THE #84",63000,International Student Award,https://www.unsw.edu.au/study/international-students/international-student-award,Masters,All Fields,54000,8100,45900,3.0,2026-03-31,"Transcripts|Personal Statement|IELTS 6.5+","international.enquiry@unsw.edu.au",,+61 2 9385 6996,"1.Apply for eligible degree at UNSW|2.Submit 500-word personal statement (video or text)|3.Receive 15% tuition fee reduction offer|4.Accept offer and pay deposit|5.Award applied automatically to fees",portal_application,View Requirements 📋,Requires short statement with admission,true
Australian National University,https://www.anu.edu.au,Canberra,Australia,-35.2777,149.1185,"Canberra ACT 2601, Australia",https://upload.wikimedia.org/wikipedia/commons/e/e0/Australian_National_University_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/ANU_School_of_Music.jpg/800px-ANU_School_of_Music.jpg,1946,"QS World #30, THE #67",25000,ANU Chancellor’s International,https://www.anu.edu.au/study/scholarships/find-a-scholarship/anu-chancellors-international-scholarship,Masters,All Fields,48000,12000,36000,3.5,2025-12-15,"Transcripts|2 References|IELTS 6.5+","international.admissions@anu.edu.au",,+61 2 6125 5111,"1.Apply for admission to ANU|2.Automatically assessed for 25% or 50% fee waiver|3.Based strictly on academic merit (GPA)|4.Receive scholarship offer with admission letter|5.Accept within deadline",auto_considered,Apply for Course 🎓,Fee waivers (25% or 50%) auto-assessed,true
Monash University,https://www.monash.edu,Melbourne,Australia,-37.9150,145.1300,"Wellington Rd, Clayton VIC 3800",https://upload.wikimedia.org/wikipedia/commons/9/9e/Monash_University_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Monash_University_Menzies_Building.jpg/800px-Monash_University_Menzies_Building.jpg,1958,"QS World #37, THE #54",86000,Monash International Merit,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/international-merit-5770,Masters,All Fields,50000,10000,40000,3.7,2025-11-15,"Transcripts|Separate Scholarship Form|SOP|IELTS 6.5+","mu.documents@monash.edu",,+61 3 9903 4788,"1.Apply for a full-time course at Monash|2.Receive a full offer of admission|3.Login to scholarship portal and submit separate application|4.Focus on statement of purpose|5.Selection based on academic achievement",portal_application,Visit Portal Steps 📋,Must apply for scholarship after offer,true
University of Queensland,https://www.uq.edu.au,Brisbane,Australia,-27.4975,153.0137,"St Lucia QLD 4072, Australia",https://upload.wikimedia.org/wikipedia/commons/6/6a/University_of_Queensland_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Great_Court_UQ.jpg/800px-Great_Court_UQ.jpg,1909,"QS World #40, THE #70",55000,UQ International Excellence,https://scholarships.uq.edu.au/scholarship/international-excellence-scholarship,Masters,All Fields,45000,11250,33750,3.4,2025-11-30,"Transcripts|IELTS 6.5+|CV","applicationstatus@uq.edu.au",,+61 7 3365 1111,"1.Apply for relevant postgraduate program|2.Receive unconditional offer|3.Automatically assessed for 25% fee reduction|4.Scholarship confirmed via email if successful|5.Accept offer to activate",auto_considered,Apply for Course 🎓,Auto-considered for 25% fee reduction,true
University of Western Australia,https://www.uwa.edu.au,Perth,Australia,-31.9784,115.8181,"35 Stirling Hwy, Crawley WA 6009",https://upload.wikimedia.org/wikipedia/en/8/87/University_of_Western_Australia_Coat_of_Arms.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Winthrop_Hall_UWA.jpg/800px-Winthrop_Hall_UWA.jpg,1911,"QS World #77, THE #143",25000,Global Excellence Scholarship,https://www.uwa.edu.au/study/scholarships/explore/global-excellence-scholarship,Masters,All Fields,43000,12000,31000,3.2,2025-12-01,"Transcripts|IELTS 6.5+","international@uwa.edu.au",,+61 8 6488 1000,"1.Apply for eligible UWA course|2.Admissions team assesses GPA automatically|3.Scholarship up to AUD$48k (over 4 years) awarded|4.Amount mentioned in offer letter|5.No separate application required",auto_considered,Apply for Course 🎓,Auto-award up to $12k per year,true
University of Adelaide,https://www.adelaide.edu.au,Adelaide,Australia,-34.9205,138.6062,"Adelaide SA 5005, Australia",https://upload.wikimedia.org/wikipedia/en/e/e0/University_of_Adelaide_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Mitchell_Building_University_of_Adelaide.jpg/800px-Mitchell_Building_University_of_Adelaide.jpg,1874,"QS World #82, THE #111",27000,Global Citizens Scholarship,https://international.adelaide.edu.au/admissions/scholarships/the-university-of-adelaide-global-citizens-scholarship,Masters,All Fields,46000,13800,32200,3.0,2026-01-31,"Transcripts|IELTS 6.5+|Previous Degree","start@adelaide.edu.au",,+61 8 8313 5208,"1.Apply for eligible program at Adelaide|2.Auto-assessed for 15% or 30% fee reduction|3.Merit based (GPA 5.0/7.0 for 15%, 6.0/7.0 for 30%)|4.Scholarship details included in Offer Letter|5.Accept offer within deadline",auto_considered,Apply for Course 🎓,15% or 30% fee waiver auto-assessed,true
University of Technology Sydney,https://www.uts.edu.au,Sydney,Australia,-33.8832,151.2004,"15 Broadway, Ultimo NSW 2007",https://upload.wikimedia.org/wikipedia/commons/d/d0/University_of_Technology_Sydney_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/UTS_Tower_Building.jpg/800px-UTS_Tower_Building.jpg,1988,"QS World #88, THE #148",46000,UTS Academic Excellence,https://www.uts.edu.au/scholarship/uts-international-academic-excellence-award,Masters,All Fields,42000,10500,31500,3.2,2026-02-15,"Transcripts|IELTS 6.5+","international@uts.edu.au",,+61 2 9514 1531,"1.Apply for UTS coursework degree|2.Admissions assesses academic eligibility|3.Qualify for 25% or 35% tuition fee scholarship|4.No separate form required|5.Check offer letter for award",auto_considered,Apply for Course 🎓,25-35% scholarship auto-awarded,true
RMIT University,https://www.rmit.edu.au,Melbourne,Australia,-37.8076,144.9633,"124 La Trobe St, Melbourne VIC 3000",https://upload.wikimedia.org/wikipedia/commons/5/52/RMIT_University_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/RMIT_Building_8_Swanston_Street_facade.jpg/800px-RMIT_Building_8_Swanston_Street_facade.jpg,1887,"QS World #123, THE #251",90000,Future Leaders Scholarship,https://www.rmit.edu.au/study-with-us/international-students/apply-to-rmit-international-students/fees-and-scholarships/scholarships/future-leaders-scholarship,Masters,All Fields,40000,8000,32000,3.0,2026-01-31,"Transcripts|SOP|CV|IELTS 6.5+","study@rmit.edu.au",,+61 3 9925 2000,"1.Apply for eligible program at RMIT|2.Complete scholarship application form|3.Submit personal statement/video|4.Selection based on leadership and merit|5.Receive 20% tuition fee reduction",direct_form,Apply Now 🎯,Apply for course then fill scholarship form,true
